# wn (scale x 1.083)	PP 75 mu 
60.0362163	0.8574362
60.0869655	0.8573034
60.1377146	0.8572017
60.1884637	0.8571163
60.2392128	0.8570325
60.289962	0.8569372
60.3407111	0.8568214
60.3914602	0.8566795
60.4422093	0.8565103
60.4929585	0.8563156
60.5437076	0.8561001
60.5944567	0.8558698
60.6452058	0.8556314
60.695955	0.8553898
60.7467041	0.8551494
60.7974532	0.8549125
60.8482024	0.854679
60.8989515	0.8544492
60.9497006	0.8542206
61.0004497	0.8539917
61.0511989	0.8537605
61.101948	0.8535264
61.1526971	0.8532885
61.2034462	0.8530478
61.2541954	0.8528054
61.3049445	0.8525633
61.3556936	0.8523232
61.4064427	0.8520871
61.4571919	0.8518561
61.507941	0.8516297
61.5586901	0.8514071
61.6094392	0.8511851
61.6601884	0.8509603
61.7109375	0.850728
61.7616866	0.8504833
61.8124358	0.8502225
61.8631849	0.8499427
61.913934	0.8496445
61.9646831	0.8493305
62.0154323	0.8490071
62.0661814	0.8486832
62.1169305	0.8483698
62.1676796	0.8480785
62.2184288	0.847821
62.2691779	0.8476058
62.319927	0.8474392
62.3706761	0.8473226
62.4214253	0.8472534
62.4721744	0.8472251
62.5229235	0.8472278
62.5736726	0.8472505
62.6244218	0.8472813
62.6751709	0.8473094
62.72592	0.847326
62.7766692	0.847325
62.8274183	0.8473029
62.8781674	0.8472593
62.9289165	0.8471956
62.9796657	0.8471149
63.0304148	0.8470217
63.0811639	0.84692
63.131913	0.846814
63.1826622	0.8467057
63.2334113	0.8465962
63.2841604	0.8464848
63.3349095	0.846369
63.3856587	0.8462452
63.4364078	0.846109
63.4871569	0.845956
63.537906	0.8457838
63.5886552	0.8455915
63.6394043	0.8453809
63.6901534	0.8451574
63.7409025	0.8449296
63.7916517	0.8447092
63.8424008	0.8445088
63.8931499	0.8443415
63.9438991	0.8442195
63.9946482	0.8441512
64.0453973	0.8441409
64.0961464	0.8441881
64.1468956	0.8442876
64.1976447	0.84443
64.2483938	0.8446034
64.2991429	0.8447942
64.3498921	0.8449897
64.4006412	0.8451782
64.4513903	0.8453513
64.5021394	0.845503
64.5528886	0.8456302
64.6036377	0.8457332
64.6543868	0.8458136
64.7051359	0.8458745
64.7558851	0.8459198
64.8066342	0.8459539
64.8573833	0.8459809
64.9081325	0.8460042
64.9588816	0.8460274
65.0096307	0.8460528
65.0603798	0.8460824
65.111129	0.846118
65.1618781	0.8461599
65.2126272	0.8462084
65.2633763	0.846263
65.3141255	0.8463233
65.3648746	0.846388
65.4156237	0.8464561
65.4663728	0.8465267
65.517122	0.8465994
65.5678711	0.846674
65.6186202	0.8467504
65.6693693	0.8468292
65.7201185	0.8469111
65.7708676	0.846996
65.8216167	0.8471166
65.8723659	0.8472372
65.923115	0.8473578
65.9738641	0.8474784
66.0246132	0.847599
66.0753624	0.8477196
66.1261115	0.8478402
66.1768606	0.8479638
66.2276097	0.8480716
66.2783589	0.8481659
66.329108	0.8482504
66.3798571	0.8483278
66.4306062	0.8484018
66.4813554	0.8484746
66.5321045	0.8485485
66.5828536	0.8486252
66.6336027	0.8487067
66.6843519	0.8487937
66.735101	0.8488882
66.7858501	0.8489923
66.8365992	0.8491075
66.8873484	0.849236
66.9380975	0.8493794
66.9888466	0.8495393
67.0395958	0.8497157
67.0903449	0.8499086
67.141094	0.850117
67.1918431	0.8503398
67.2425923	0.8505751
67.2933414	0.8508212
67.3440905	0.8510772
67.3948396	0.8513418
67.4455888	0.8516156
67.4963379	0.8518981
67.547087	0.8521894
67.5978361	0.8524898
67.6485853	0.8527985
67.6993344	0.853115
67.7500835	0.8534369
67.8008326	0.8537619
67.8515818	0.854087
67.9023309	0.854409
67.95308	0.8547257
68.0038292	0.8550339
68.0545783	0.8553327
68.1053274	0.8556215
68.1560765	0.8559022
68.2068257	0.8561777
68.2575748	0.8564512
68.3083239	0.8567284
68.359073	0.8570139
68.4098222	0.857313
68.4605713	0.8576295
68.5113204	0.8579659
68.5620695	0.8583228
68.6128187	0.8586987
68.6635678	0.8590899
68.7143169	0.8594911
68.765066	0.8598945
68.8158152	0.8602936
68.8665643	0.8606803
68.9173134	0.8610481
68.9680626	0.8613927
69.0188117	0.8617119
69.0695608	0.8620057
69.1203099	0.8622774
69.1710591	0.8625315
69.2218082	0.8627753
69.2725573	0.8630157
69.3233064	0.8632597
69.3740556	0.8635142
69.4248047	0.8637844
69.4755538	0.8640739
69.5263029	0.8643858
69.5770521	0.8647208
69.6278012	0.8650789
69.6785503	0.8654589
69.7292994	0.8658602
69.7800486	0.8662804
69.8307977	0.8667169
69.8815468	0.8671678
69.9322959	0.8676293
69.9830451	0.8680978
70.0337942	0.8685701
70.0845433	0.8690419
70.1352925	0.8695101
70.1860416	0.8699719
70.2367907	0.8704264
70.2875398	0.8708726
70.338289	0.8713118
70.3890381	0.8717464
70.4397872	0.8721792
70.4905363	0.8726143
70.5412855	0.8730544
70.5920346	0.8735037
70.6427837	0.8739635
70.6935328	0.8744351
70.744282	0.8749181
70.7950311	0.8754104
70.8457802	0.87591
70.8965293	0.876412
70.9472785	0.876914
70.9980276	0.8774112
71.0487767	0.877902
71.0995259	0.8783846
71.150275	0.8788596
71.2010241	0.8793304
71.2517732	0.8797989
71.3025224	0.880271
71.3532715	0.8807524
71.4040206	0.8812474
71.4547697	0.8817617
71.5055189	0.8822961
71.556268	0.8828521
71.6070171	0.8834271
71.6577662	0.8840176
71.7085154	0.884616
71.7592645	0.8852146
71.8100136	0.8858051
71.8607627	0.88638
71.9115119	0.8869325
71.962261	0.8874588
72.0130101	0.8879561
72.0637593	0.888427
72.1145084	0.888874
72.1652575	0.8893034
72.2160066	0.889722
72.2667558	0.890138
72.3175049	0.8905584
72.368254	0.8909912
72.4190031	0.8914417
72.4697523	0.8919143
72.5205014	0.8924116
72.5712505	0.8929342
72.6219996	0.8934794
72.6727488	0.8940434
72.7234979	0.8946216
72.774247	0.8952053
72.8249961	0.8957858
72.8757453	0.8963557
72.9264944	0.8969066
72.9772435	0.8974324
73.0279927	0.8979281
73.0787418	0.898393
73.1294909	0.8988285
73.18024	0.8992396
73.2309892	0.8996319
73.2817383	0.9000136
73.3324874	0.9003919
73.3832365	0.9007754
73.4339857	0.9011685
73.4847348	0.901577
73.5354839	0.9020026
73.586233	0.9024459
73.6369822	0.9029067
73.6877313	0.9033833
73.7384804	0.9038734
73.7892295	0.9043747
73.8399787	0.904885
73.8907278	0.9054021
73.9414769	0.9059235
73.992226	0.9064471
74.0429752	0.9069713
74.0937243	0.9074932
74.1444734	0.9080131
74.1952226	0.9085292
74.2459717	0.9090419
74.2967208	0.9095514
74.3474699	0.9100596
74.3982191	0.9105675
74.4489682	0.9110783
74.4997173	0.9115936
74.5504664	0.9121152
74.6012156	0.9126451
74.6519647	0.9131843
74.7027138	0.9137321
74.7534629	0.9142892
74.8042121	0.9148529
74.8549612	0.9154213
74.9057103	0.9159915
74.9564594	0.9165611
75.0072086	0.9171267
75.0579577	0.9176863
75.1087068	0.9182367
75.159456	0.9187773
75.2102051	0.9193084
75.2609542	0.919831
75.3117033	0.9203472
75.3624525	0.9208611
75.4132016	0.9213759
75.4639507	0.9218963
75.5146998	0.9224261
75.565449	0.9229683
75.6161981	0.9235241
75.6669472	0.9240936
75.7176963	0.9246759
75.7684455	0.9252673
75.8191946	0.9258648
75.8699437	0.9264638
75.9206928	0.927061
75.971442	0.927653
76.0221911	0.9282378
76.0729402	0.9288139
76.1236894	0.9293818
76.1744385	0.9299412
76.2251876	0.9304945
